日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2015-04-08,'000001,平安银行,17.92,18.08,16.65,16.93,16.81,1.11,6.6032,337164631,5784459038.68
2015-04-07,'000001,平安银行,16.81,16.96,16.15,16.15,15.85,0.96,6.0568,296047228,4898119462.68
2015-04-03,'000001,平安银行,15.85,15.94,15.61,15.7,15.8,0.05,0.3165,143494132,2262844473.07
2015-04-02,'000001,平安银行,15.8,16.14,15.62,16.09,15.96,-0.16,-1.0025,140583742,2222670592.8
2015-04-01,'000001,平安银行,15.96,16.14,15.55,15.82,15.75,0.21,1.3333,164331641,2608976849.83
2015-03-31,'000001,平安银行,15.75,16.6,15.63,16.04,15.66,0.09,0.5747,273318321,4393135215.41
2015-03-30,'000001,平安银行,15.66,15.94,15.1,15.23,15.08,0.58,3.8462,258261368,4014724425.84
2015-03-27,'000001,平安银行,15.08,15.29,14.86,15.1,15.11,-0.03,-0.1985,104763887,1577607058.01
2015-03-26,'000001,平安银行,15.11,15.42,14.71,14.86,14.91,0.2,1.3414,148789158,2246003758.32
2015-03-25,'000001,平安银行,14.91,15.32,14.89,15.28,15.35,-0.44,-2.8664,159146801,2396613996.93
2015-03-24,'000001,平安银行,15.35,15.59,15.22,15.43,15.43,-0.08,-0.5185,155919347,2396553386.03
2015-03-23,'000001,平安银行,15.43,15.56,15.33,15.33,15.32,0.11,0.718,178205583,2750596675.24
2015-03-20,'000001,平安银行,15.32,15.55,15.06,15.19,15.19,0.13,0.8558,197639447,3027315327.8
2015-03-19,'000001,平安银行,15.19,15.48,15.12,15.48,15.51,-0.32,-2.0632,158030028,2413982124.24
2015-03-18,'000001,平安银行,15.51,15.58,15.29,15.36,15.4,0.11,0.7143,183100067,2823982778.35
2015-03-17,'000001,平安银行,15.4,15.8,15.25,15.51,15.41,-0.01,-0.0649,195984187,3020408697.55
2015-03-16,'000001,平安银行,15.41,15.5,14.92,15.1,14.99,0.42,2.8019,221847246,3387198610.25
2015-03-13,'000001,平安银行,14.99,15.61,14.8,14.9,14.6,0.39,2.6712,316398835,4799935194.54
2015-03-12,'000001,平安银行,14.6,14.96,14.08,14.2,13.86,0.74,5.3391,330513720,4805590363.16
2015-03-11,'000001,平安银行,13.86,14.08,13.79,13.79,13.77,0.09,0.6536,90335413,1258356122.21
2015-03-10,'000001,平安银行,13.77,14.12,13.77,14.0,14.15,-0.38,-2.6855,138570630,1927581938.5
2015-03-09,'000001,平安银行,14.15,14.34,13.32,13.47,13.44,0.71,5.2827,220532361,3067985540.55
2015-03-06,'000001,平安银行,13.44,13.51,13.35,13.37,13.38,0.06,0.4484,55704774,748959127.7
2015-03-05,'000001,平安银行,13.38,13.53,13.29,13.5,13.57,-0.19,-1.4001,82860485,1109151960.11
2015-03-04,'000001,平安银行,13.57,13.72,13.5,13.62,13.6,-0.03,-0.2206,81497304,1108145418.62
2015-03-03,'000001,平安银行,13.6,13.98,13.59,13.98,14.03,-0.43,-3.0649,105947629,1457305035.37
2015-03-02,'000001,平安银行,14.03,14.09,13.87,14.03,13.99,0.04,0.2859,101879700,1423603269.22
2015-02-27,'000001,平安银行,13.99,14.16,13.96,14.06,14.07,-0.08,-0.5686,79357014,1115146052.8
2015-02-26,'000001,平安银行,14.07,14.08,13.6,13.8,13.8,0.27,1.9565,102554424,1424064862.06
2015-02-25,'000001,平安银行,13.8,14.05,13.76,14.04,13.99,-0.19,-1.3581,57739233,799193628.92
2015-02-17,'000001,平安银行,13.99,14.11,13.93,13.96,13.92,0.07,0.5029,68049159,954430237.78
2015-02-16,'000001,平安银行,13.92,14.01,13.73,13.95,13.95,-0.03,-0.2151,72120239,999898468.83
2015-02-13,'000001,平安银行,13.95,14.18,13.84,13.93,13.86,0.09,0.6494,88774310,1244514793.51
2015-02-12,'000001,平安银行,13.86,13.9,13.62,13.75,13.73,0.13,0.9468,60871568,838611239.43
2015-02-11,'000001,平安银行,13.73,13.85,13.68,13.78,13.77,-0.04,-0.2905,55434951,763414581.54
2015-02-10,'000001,平安银行,13.77,13.82,13.42,13.49,13.52,0.25,1.8491,72487537,991823743.75
2015-02-09,'000001,平安银行,13.52,13.68,13.22,13.5,13.51,0.01,0.074,94658628,1273141159.57
2015-02-06,'000001,平安银行,13.51,13.95,13.4,13.69,13.79,-0.28,-2.0305,103040856,1411298590.44
2015-02-05,'000001,平安银行,13.79,14.43,13.76,14.3,13.71,0.08,0.5835,191372916,2710523885.93
2015-02-04,'000001,平安银行,13.71,14.04,13.7,14.0,13.95,-0.24,-1.7204,80762311,1122666755.27
2015-02-03,'000001,平安银行,13.95,13.99,13.62,13.78,13.63,0.32,2.3478,88334914,1217876590.17
2015-02-02,'000001,平安银行,13.63,13.8,13.55,13.6,13.93,-0.3,-2.1536,86093216,1176949559.66
2015-01-30,'000001,平安银行,13.93,14.12,13.76,13.93,13.9,0.03,0.2158,93011669,1298735718.88
2015-01-29,'000001,平安银行,13.9,14.01,13.75,13.82,14.06,-0.16,-1.138,101675329,1408825355.92
2015-01-28,'000001,平安银行,14.06,14.3,13.8,13.87,13.99,0.07,0.5004,124087755,1742175735.9
2015-01-27,'000001,平安银行,13.99,14.37,13.83,14.35,14.34,-0.35,-2.4407,133949466,1881058964.74
2015-01-26,'000001,平安银行,14.34,14.44,14.16,14.36,14.4,-0.06,-0.4167,105760580,1508446593.2
2015-01-23,'000001,平安银行,14.4,14.63,14.3,14.36,14.3,0.1,0.6993,145918192,2108746796.11
2015-01-22,'000001,平安银行,14.3,14.52,14.16,14.34,14.42,-0.12,-0.8322,125501611,1801436255.35
2015-01-21,'000001,平安银行,14.42,14.6,13.75,13.88,13.83,0.59,4.2661,194053037,2758192756.95
2015-01-20,'000001,平安银行,13.83,14.06,13.56,13.83,13.83,0.0,0.0,149101811,2064280554.87
2015-01-19,'000001,平安银行,13.83,14.57,13.83,14.01,15.37,-1.54,-10.0195,213712366,3016203087.26
2015-01-16,'000001,平安银行,15.37,15.62,15.18,15.4,15.35,0.02,0.1303,155584633,2403346194.64
2015-01-15,'000001,平安银行,15.35,15.35,14.71,14.85,14.81,0.54,3.6462,124217032,1868795909.67
2015-01-14,'000001,平安银行,14.81,15.2,14.7,14.78,14.68,0.13,0.8856,126302964,1889296679.44
